English,Amharic
you,አንተ/አንቺ/እርስዎ
i,እኔ
the,የ
to,ወደ/ለ
's,የ
and,እና
that,ያ/ያች
't,አይደለም
of,የ
is,ነው
in,ውስጥ
what,ምን
we,እኛ
me,እኔ
this,ይህ/ይች
he,እሱ
for,ለ
my,የእኔ
on,ላይ
have,አለኝ/አደርጋለሁ
your,የአንተ/የአንቺ/የእርስዎ
do,አደርጋለሁ
was,ነበር
'm,ነኝ
no,አይ
not,አይደለም
be,ሆን
are,ነህ/ነሽ/ናችሁ
don,አይ
're,ነህ/ነሽ/ናችሁ
know,አውቃለሁ
can,ችላለሁ
with,ጋር
but,ግን
all,ሁሉ
so,ስለዚህ
just,ብቻ
there,እዚያ
here,እዚህ
they,እነሱ
like,እወዳለሁ/እንደ
'll,እ
get,ማግኘት
she,እሷ
go,መሄድ
if,ከሆነ
right,ትክክል/ቀኝ
out,ውጭ
about,ስለ
up,አንድ
at,ላይ
him,እሱን
now,አሁን
oh,ኦህ
one,አንድ
come,መምጣት
well,በደንብ/ደህና
her,እሷን/የእሷ
how,እንዴት
yeah,አዎ
've,አለኝ
will,እደርሳለሁ
got,አገኘሁ
want,እፈልጋለሁ
think,እገምታለሁ
as,እንደ
see,ማየት
did,አደረግኩ
good,ጥሩ
who,ማን
why,ለምን
from,ከ
let,ፍቀድ
his,የእሱ
yes,አዎ
when,መቼ
going,በመሄድ ላይ
time,ጊዜ
an,አንድ
okay,እሺ
back,ጀርባ/ወደኋላ
look,መመልከት
us,እኛን
would,እደርስ
them,እነሱን
where,የት
were,ነበሩ
take,መውሰድ
then,ከዚያ
had,ነበረኝ
or,ወይም
been,ነበር
our,የእኛ
gonna,እሄዳለሁ
tell,መንገር
really,በእውነት
man,ሰው
some,አንዳንድ
say,መባል
hey,ሄይ
